f1,auc,accuracy,recall,precision,run,model_name,balanced,roi_size
0.8468468468468469,0.9047169811320754,0.8495575221238938,0.8867924528301887,0.8103448275862069,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8761904761904762,0.9306431273644388,0.8849557522123894,0.8846153846153846,0.8679245283018868,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.7920792079207921,0.9167717528373266,0.8141592920353983,0.7692307692307693,0.8163265306122449,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.7708333333333334,0.8830128205128205,0.8053097345132744,0.7708333333333334,0.7708333333333334,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.7931034482758621,0.8617554858934169,0.7876106194690266,0.7931034482758621,0.7931034482758621,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.92,0.9652423469387755,0.9292035398230089,0.9387755102040817,0.9019607843137255,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8062015503875969,0.8580952380952381,0.7787610619469026,0.8253968253968254,0.7878787878787878,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8676470588235294,0.9295774647887324,0.8407079646017699,0.8309859154929577,0.9076923076923077,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.859504132231405,0.9328499369482975,0.8495575221238938,0.8524590163934426,0.8666666666666667,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.9302325581395349,0.9597034171502257,0.9203539823008849,0.9090909090909091,0.9523809523809523,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8596491228070176,0.9395363408521303,0.8584070796460177,0.8596491228070176,0.8596491228070176,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8392857142857143,0.930947897049592,0.8407079646017699,0.8703703703703703,0.8103448275862069,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8947368421052632,0.9486215538847118,0.8938053097345132,0.9107142857142857,0.8793103448275862,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.9243697478991597,0.9663522012578617,0.9203539823008849,0.9166666666666666,0.9322033898305084,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8717948717948718,0.936050156739812,0.8672566371681416,0.8793103448275862,0.864406779661017,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
